,站號,站名,海拔高度(m),城市,經度,緯度,地址
211,C0I530,小奇萊,3014.0,南投縣,121.295717,24.131764,仁愛鄉小奇萊步道指標1.5K處附近
212,C0I540,奇萊稜線,3344.0,南投縣,121.326456,24.109231,仁愛鄉奇萊連峰指標6.4K處(奇萊山屋附近)
213,C0K240,草嶺,1132.0,雲林縣,120.693461,23.59555,古坑鄉草嶺村龍頭
214,C0K250,崙背,12.0,雲林縣,120.318925,23.75555,崙背鄉阿勸村阿勸農場(阿勸段487號)
215,C0K280,四湖,23.0,雲林縣,120.227125,23.630414,四湖鄉湖西村中正路766號(四湖國民中學內)
216,C0K291,宜梧,8.0,雲林縣,120.169329,23.536281,口湖鄉湖口村170號央廣口湖分台內(憲兵排樓頂)
217,C0K330,虎尾,38.0,雲林縣,120.442036,23.719183,虎尾鎮林森路一段64號(中正國民小學內)
218,C0K390,土庫,31.0,雲林縣,120.395574,23.679029,土庫鎮建國路41號(土庫消防分隊)
219,C0K400,斗六,65.0,雲林縣,120.541127,23.720583,斗六市鎮北路345-1號(斗六消防分隊)
220,C0K410,北港,20.0,雲林縣,120.292802,23.573957,北港鎮大同路565號(北港消防分隊)
221,C0K420,西螺,42.0,雲林縣,120.467394,23.800407,西螺鎮公正路211號(西螺消防分隊)
222,C0K430,褒忠,30.0,雲林縣,120.303634,23.690938,褒忠鄉中正路451號(褒忠鄉公所)
223,C0K440,二崙,35.0,雲林縣,120.408944,23.772797,二崙鄉中正路80號(二崙消防分隊)
224,C0K450,大埤,35.0,雲林縣,120.431537,23.646074,大埤鄉中山路8號(大埤鄉公所)
225,C0K460,斗南,60.0,雲林縣,120.478359,23.678734,斗南鎮延平路二段266號(斗南鎮停一立體停車場)
226,C0K470,林內,97.0,雲林縣,120.609642,23.748675,林內鄉中正路685號(林內消防分隊)
227,C0K480,莿桐,56.0,雲林縣,120.502372,23.761192,莿桐鄉和平路53號(莿桐鄉公所)
228,C0K500,元長,12.0,雲林縣,120.315024,23.64981,元長鄉長南村仁愛街2號(元長鄉公所)
229,C0K510,水林,10.0,雲林縣,120.24597,23.572924,水林鄉水北村水林路12號(水林鄉公所)
230,C0K520,雲林東勢,10.0,雲林縣,120.154778,23.674449,東勢鄉東南村所前街3號(東勢鄉公所)
231,C0K530,臺西,12.0,雲林縣,120.197559,23.701547,台西鄉中山路110巷38號(臺西消防分隊)
232,C0K550,蔦松,15.0,雲林縣,120.229736,23.514319,水林鄉松中村蔦松路213號(蔦松國小)
233,C0K560,棋山,117.0,雲林縣,120.603417,23.68645,古坑鄉棋盤村棋山49號(棋山國小)
234,C0K580,高鐵雲林,26.0,雲林縣,120.417944,23.737456,虎尾鎮站前東路301號(高鐵雲林站外)
235,C0M410,馬頭山,245.0,嘉義縣,120.582017,23.324361,大埔鄉永樂村1鄰內灣仔2號
236,C0M520,東後寮,15.0,嘉義縣,120.248065,23.369908,義竹鄉東光村7號(台糖東後寮農場)
237,C0M530,奮起湖,1385.0,嘉義縣,120.699253,23.493903,竹崎鄉阿里山事業區148林班地(中興苗圃內)
238,C0M640,中埔,155.0,嘉義縣,120.5229,23.42538,中埔鄉中埔村128號(中埔鄉公所)
239,C0M650,朴子,20.0,嘉義縣,120.23902,23.43463,朴子市竹村里36號(竹村國小)
240,C0M660,溪口,40.0,嘉義縣,120.403569,23.604131,溪口鄉中正東路103號(溪口國中學生活動中心)
241,C0M670,大林,43.0,嘉義縣,120.45841,23.600616,大林鎮新興街110號(大林地政事務所)
